Province,feature_name,shap_value,feature_value,base_value,predicted_pm25
Lampang,pm25_roll_max_6h,0.045354154,0.0,0.48551037907600403,0.0
Lampang,pm25_roll_max_12h,0.010604695,0.0,0.48551037907600403,0.0
Lampang,pm25_roll_max_24h,-0.077170186,0.0,0.48551037907600403,0.0
Lampang,pm25_roll_max_48h,0.02793553,0.0,0.48551037907600403,0.0
Lampang,pm25_roll_max_168h,0.106179565,0.0,0.48551037907600403,0.0
Lampang,hotspot_roll_sum_24h,0.0046403697,120.0,0.48551037907600403,0.0
Lampang,hotspot_roll_sum_48h,0.0005378582,240.0,0.48551037907600403,0.0
Lampang,hotspot_roll_sum_168h,-0.0037729745,840.0,0.48551037907600403,0.0
Lampang,frp_roll_sum_24h,0.009100293,738.24,0.48551037907600403,0.0
Lampang,frp_roll_sum_48h,-0.022380264,1476.48,0.48551037907600403,0.0
Lampang,frp_roll_sum_168h,-0.00012440537,5167.679999999999,0.48551037907600403,0.0
Lampang,pm25_delta_1h,0.1854297,0.0,0.48551037907600403,0.0
Lampang,pm25_delta_24h,-0.026559835,0.0,0.48551037907600403,0.0
Lampang,humidity_delta_1h,-0.039372187,0.0,0.48551037907600403,0.0
Lampang,humidity_delta_24h,-0.00068195857,0.0,0.48551037907600403,0.0
Lamphun,temperature_2m,-0.034046758,25.0,0.48551037907600403,0.0
Lamphun,relative_humidity_2m,-0.24230497,96.0,0.48551037907600403,0.0
Lamphun,precipitation_log,-0.08966803,0.5306282510621704,0.48551037907600403,0.0
Lamphun,surface_pressure,-0.08269022,971.6,0.48551037907600403,0.0
Lamphun,wind_speed_10m,0.006419545,2.3,0.48551037907600403,0.0
Lamphun,wind_dir_sin,0.016809208,0.39073112848927377,0.48551037907600403,0.0
Lamphun,wind_dir_cos,0.10273104,0.9205048534524404,0.48551037907600403,0.0
Lamphun,hotspot_log,0.00019663345,0.0,0.48551037907600403,0.0
Lamphun,frp_sum_log,-0.0018677025,0.0,0.48551037907600403,0.0
Lamphun,frp_mean_log,0.012628404,0.0,0.48551037907600403,0.0
Lamphun,hour_sin,-0.164398,-0.25881904510252157,0.48551037907600403,0.0
Lamphun,hour_cos,0.052733548,0.9659258262890681,0.48551037907600403,0.0
Lamphun,month_sin,-0.0131315,-0.4999999999999997,0.48551037907600403,0.0
Lamphun,month_cos,-0.02439773,-0.8660254037844388,0.48551037907600403,0.0
Lamphun,day_sin,0.034785707,-0.20129852008866114,0.48551037907600403,0.0
Lamphun,day_cos,0.005085378,0.9795299412524943,0.48551037907600403,0.0
Lamphun,is_haze_season,-0.00029381155,0.0,0.48551037907600403,0.0
Lamphun,year,-0.0104356045,2026.0,0.48551037907600403,0.0
Lamphun,province_label,0.0,3.0,0.48551037907600403,0.0
Lamphun,province_target_enc,0.0,17.79868982327849,0.48551037907600403,0.0
Lamphun,temp_x_humidity,0.062054098,24.0,0.48551037907600403,0.0
Lamphun,hotspot_x_haze,-7.250759e-05,0.0,0.48551037907600403,0.0
Lamphun,frp_x_haze,-0.00051262934,0.0,0.48551037907600403,0.0
Lamphun,wind_x_hotspot,-0.0005406885,0.0,0.48551037907600403,0.0
Lamphun,pm25_lag_1h,-11.308462,0.0,0.48551037907600403,0.0
Lamphun,pm25_lag_2h,-0.56157446,0.0,0.48551037907600403,0.0
Lamphun,pm25_lag_3h,-0.006148175,0.0,0.48551037907600403,0.0
Lamphun,pm25_lag_6h,-0.022185339,0.0,0.48551037907600403,0.0
Lamphun,pm25_lag_12h,0.031086916,0.0,0.48551037907600403,0.0
Lamphun,pm25_lag_24h,-1.7029784,0.0,0.48551037907600403,0.0
Lamphun,pm25_lag_48h,-0.1651972,0.0,0.48551037907600403,0.0
Lamphun,pm25_lag_72h,-0.045893583,0.0,0.48551037907600403,0.0
Lamphun,hotspot_lag_24h,-0.009171718,0.0,0.48551037907600403,0.0
Lamphun,hotspot_lag_48h,-0.0082967,0.0,0.48551037907600403,0.0
Lamphun,hotspot_lag_72h,-0.0050985897,0.0,0.48551037907600403,0.0
Lamphun,frp_sum_lag_24h,-0.0034225031,0.0,0.48551037907600403,0.0
Lamphun,frp_sum_lag_48h,-0.008696753,0.0,0.48551037907600403,0.0
Lamphun,frp_sum_lag_72h,-0.002112574,0.0,0.48551037907600403,0.0
Lamphun,hotspot_log_lag_24h,-0.002865179,0.0,0.48551037907600403,0.0
Lamphun,hotspot_log_lag_48h,-0.0015899293,0.0,0.48551037907600403,0.0
Lamphun,hotspot_log_lag_72h,-0.0010855846,0.0,0.48551037907600403,0.0
Lamphun,pm25_roll_mean_3h,-2.10464,0.0,0.48551037907600403,0.0
Lamphun,pm25_roll_mean_6h,-0.009985018,0.0,0.48551037907600403,0.0
